date,merchant,amount,category
2025-10-13 07:25:46,Blinkit,4657,Market
2025-10-13 14:38:46,Starbucks,232,Coffee
2025-10-13 20:51:46,CafeCoffeeDay,168,Coffee
2025-10-13 04:04:46,Barista,376,Coffee
2025-10-13 11:17:46,OlaCabs,464,Transport
2025-10-14 18:30:46,Uber,627,Transport
2025-10-14 01:43:46,IRCTC,858,Transport
2025-10-14 07:56:46,Rapido,1345,Transport
2025-10-14 15:09:46,Razorpay,2031,Business
2025-10-14 22:22:46,Zoho,3160,Business
2025-10-14 05:35:46,Meesho,4636,Business
2025-10-15 11:48:46,Zomato,60,Restaurant
2025-10-15 19:01:46,Swiggy,284,Restaurant
2025-10-15 02:14:46,KFC,364,Restaurant
2025-10-15 09:27:46,McDonalds,367,Restaurant
2025-10-15 16:40:46,DMart,668,Market
2025-10-15 22:53:46,BigBazaar,1025,Market
2025-10-16 06:06:46,Reliance,1315,Market
2025-10-16 13:19:46,Blinkit,2049,Market
2025-10-16 20:32:46,Starbucks,3147,Coffee
2025-10-16 03:45:46,CafeCoffeeDay,4680,Coffee
2025-10-16 09:58:46,Barista,116,Coffee
2025-10-16 17:11:46,OlaCabs,263,Transport
2025-10-17 00:24:46,Uber,309,Transport
2025-10-17 07:37:46,IRCTC,455,Transport
2025-10-17 13:50:46,Rapido,590,Transport
2025-10-17 21:03:46,Razorpay,869,Business
2025-10-17 04:16:46,Zoho,1365,Business
2025-10-17 11:29:46,Meesho,2115,Business
2025-10-18 18:42:46,Zomato,3161,Restaurant
2025-10-18 00:55:46,Swiggy,4658,Restaurant
2025-10-18 08:08:46,KFC,239,Restaurant
2025-10-18 15:21:46,McDonalds,235,Restaurant
2025-10-18 22:34:46,DMart,180,Market
2025-10-18 05:47:46,BigBazaar,453,Market
2025-10-19 12:00:46,Reliance,622,Market
2025-10-19 19:13:46,Blinkit,955,Market
2025-10-19 02:26:46,Starbucks,1274,Coffee
2025-10-19 09:39:46,CafeCoffeeDay,1948,Coffee
2025-10-19 15:52:46,Barista,3212,Coffee
2025-10-19 23:05:46,OlaCabs,4598,Transport
2025-10-20 06:18:46,Uber,101,Transport
2025-10-20 13:31:46,IRCTC,114,Transport
2025-10-20 20:44:46,Rapido,241,Transport
2025-10-20 02:57:46,Razorpay,445,Business
2025-10-20 10:10:46,Zoho,560,Business
2025-10-20 17:23:46,Meesho,851,Business
2025-10-21 00:36:46,Zomato,1457,Restaurant
2025-10-21 06:49:46,Swiggy,2044,Restaurant
2025-10-21 14:02:46,KFC,3137,Restaurant
2025-10-21 21:15:46,McDonalds,4714,Restaurant
2025-10-21 04:28:46,DMart,176,Market
2025-10-21 11:41:46,BigBazaar,296,Market
2025-10-22 17:54:46,Reliance,212,Market
2025-10-22 01:07:46,Blinkit,332,Market
2025-10-22 08:20:46,Starbucks,708,Coffee
2025-10-22 15:33:46,CafeCoffeeDay,951,Coffee
2025-10-22 22:46:46,Barista,1410,Coffee
2025-10-22 04:59:46,OlaCabs,1962,Transport
2025-10-23 12:12:46,Uber,3187,Transport
2025-10-23 19:25:46,IRCTC,4655,Transport
2025-10-23 02:38:46,Rapido,195,Transport
2025-10-23 08:51:46,Razorpay,208,Business
2025-10-23 16:04:46,Zoho,234,Business
2025-10-23 23:17:46,Meesho,438,Business
2025-10-24 06:30:46,Zomato,733,Restaurant
2025-10-24 13:43:46,Swiggy,1016,Restaurant
2025-10-24 19:56:46,KFC,1446,Restaurant
2025-10-24 03:09:46,McDonalds,1971,Restaurant
2025-10-24 10:22:46,DMart,3302,Market
2025-10-24 17:35:46,BigBazaar,4599,Market
2025-10-24 23:48:46,Reliance,142,Market
2025-10-25 07:01:46,Blinkit,271,Market
2025-10-25 14:14:46,Starbucks,346,Coffee
2025-10-25 21:27:46,CafeCoffeeDay,395,Coffee
2025-10-25 04:40:46,Barista,652,Coffee
2025-10-25 10:53:46,OlaCabs,962,Transport
2025-10-26 18:06:46,Uber,1385,Transport
2025-10-26 01:19:46,IRCTC,1950,Transport
2025-10-26 08:32:46,Rapido,3183,Transport
2025-10-26 15:45:46,Razorpay,4577,Business
2025-10-26 21:58:46,Zoho,60,Business
2025-10-26 05:11:46,Meesho,186,Business
2025-10-27 12:24:46,Zomato,185,Restaurant
2025-10-27 19:37:46,Swiggy,450,Restaurant
2025-10-27 01:50:46,KFC,681,Restaurant
2025-10-27 09:03:46,McDonalds,888,Restaurant
2025-10-27 16:16:46,DMart,1420,Market
2025-10-27 23:29:46,BigBazaar,1976,Market
2025-10-28 06:42:46,Reliance,3121,Market
2025-10-28 12:55:46,Blinkit,4538,Market
2025-10-28 20:08:46,Starbucks,221,Coffee
2025-10-28 03:21:46,CafeCoffeeDay,261,Coffee
2025-10-28 10:34:46,Barista,195,Coffee
2025-10-28 17:47:46,OlaCabs,358,Transport
2025-10-29 00:00:46,Uber,557,Transport
2025-10-29 07:13:46,IRCTC,838,Transport
2025-10-29 14:26:46,Rapido,1354,Transport
2025-10-29 21:39:46,Razorpay,1938,Business
2025-10-29 03:52:46,Zoho,3251,Business
2025-10-29 11:05:46,Meesho,4580,Business
2025-10-30 18:18:46,Zomato,111,Restaurant
2025-10-30 01:31:46,Swiggy,271,Restaurant
2025-10-30 08:44:46,KFC,304,Restaurant
2025-10-30 14:57:46,McDonalds,354,Restaurant
2025-10-30 22:10:46,DMart,678,Market
2025-10-30 05:23:46,BigBazaar,863,Market
2025-10-31 12:36:46,Reliance,1455,Market
2025-10-31 18:49:46,Blinkit,2066,Market
2025-10-31 02:02:46,Starbucks,3267,Coffee
2025-10-31 09:15:46,CafeCoffeeDay,4641,Coffee
2025-10-31 16:28:46,Barista,102,Coffee
2025-10-31 23:41:46,OlaCabs,300,Transport
2025-11-01 05:54:46,Uber,301,Transport
2025-11-01 13:07:46,IRCTC,404,Transport
2025-11-01 20:20:46,Rapido,588,Transport
2025-11-01 03:33:46,Razorpay,854,Business
2025-11-01 10:46:46,Zoho,1294,Business
2025-11-01 16:59:46,Meesho,2088,Business
2025-11-02 00:12:46,Zomato,3230,Restaurant
2025-11-02 07:25:46,Swiggy,4610,Restaurant
2025-11-02 14:38:46,KFC,148,Restaurant
2025-11-02 20:51:46,McDonalds,205,Restaurant
2025-11-02 04:04:46,DMart,299,Market
2025-11-02 11:17:46,BigBazaar,486,Market
2025-11-03 18:30:46,Reliance,553,Market
2025-11-03 01:43:46,Blinkit,1002,Market
2025-11-03 07:56:46,Starbucks,1437,Coffee
2025-11-03 15:09:46,CafeCoffeeDay,2085,Coffee
2025-11-03 22:22:46,Barista,3145,Coffee
2025-11-03 05:35:46,OlaCabs,4535,Transport
2025-11-04 11:48:46,Uber,143,Transport
2025-11-04 19:01:46,IRCTC,286,Transport
2025-11-04 02:14:46,Rapido,266,Transport
2025-11-04 09:27:46,Razorpay,327,Business
2025-11-04 16:40:46,Zoho,603,Business
2025-11-04 22:53:46,Meesho,879,Business
2025-11-05 06:06:46,Zomato,1318,Restaurant
2025-11-05 13:19:46,Swiggy,2057,Restaurant
2025-11-05 20:32:46,KFC,3234,Restaurant
2025-11-05 03:45:46,McDonalds,4555,Restaurant
2025-11-05 09:58:46,DMart,148,Market
2025-11-05 17:11:46,BigBazaar,146,Market
2025-11-06 00:24:46,Reliance,251,Market
2025-11-06 07:37:46,Blinkit,418,Market
2025-11-06 13:50:46,Starbucks,603,Coffee
2025-11-06 21:03:46,CafeCoffeeDay,849,Coffee
2025-11-06 04:16:46,Barista,1383,Coffee
2025-11-06 11:29:46,OlaCabs,2060,Transport
2025-11-07 18:42:46,Uber,3145,Transport
2025-11-07 00:55:46,IRCTC,4532,Transport
2025-11-07 08:08:46,Rapido,206,Transport
2025-11-07 15:21:46,Razorpay,238,Business
2025-11-07 22:34:46,Zoho,183,Business
2025-11-07 05:47:46,Meesho,323,Business
2025-11-08 12:00:46,Zomato,732,Restaurant
2025-11-08 19:13:46,Swiggy,890,Restaurant
2025-11-08 02:26:46,KFC,1312,Restaurant
2025-11-08 09:39:46,McDonalds,2024,Restaurant
2025-11-08 15:52:46,DMart,3244,Market
2025-11-08 23:05:46,BigBazaar,4643,Market
2025-11-09 06:18:46,Reliance,94,Market
2025-11-09 13:31:46,Blinkit,202,Market
2025-11-09 20:44:46,Starbucks,195,Coffee
2025-11-09 02:57:46,CafeCoffeeDay,342,Coffee
2025-11-09 10:10:46,Barista,637,Coffee
2025-11-09 17:23:46,OlaCabs,830,Transport
2025-11-10 00:36:46,Uber,1369,Transport
2025-11-10 06:49:46,IRCTC,1987,Transport
2025-11-10 14:02:46,Rapido,3320,Transport
2025-11-10 21:15:46,Razorpay,4720,Business
2025-11-10 04:28:46,Zoho,156,Business
2025-11-10 11:41:46,Meesho,173,Business
2025-11-11 17:54:46,Zomato,288,Restaurant
2025-11-11 01:07:46,Swiggy,478,Restaurant
2025-11-11 08:20:46,KFC,727,Restaurant
2025-11-11 15:33:46,McDonalds,1030,Restaurant
2025-11-11 22:46:46,DMart,1412,Market
2025-11-11 04:59:46,BigBazaar,2089,Market
2025-11-12 12:12:46,Reliance,3303,Market
2025-11-12 19:25:46,Blinkit,4644,Market
2025-11-12 02:38:46,Starbucks,79,Coffee
2025-11-12 08:51:46,CafeCoffeeDay,148,Coffee
2025-11-12 16:04:46,Barista,255,Coffee
2025-11-12 23:17:46,OlaCabs,355,Transport
2025-11-13 06:30:46,Uber,554,Transport
2025-11-13 13:43:46,IRCTC,978,Transport
2025-11-13 19:56:46,Rapido,1458,Transport
2025-11-13 03:09:46,Razorpay,2058,Business
2025-11-13 10:22:46,Zoho,3135,Business
2025-11-13 17:35:46,Meesho,4711,Business
2025-11-13 23:48:46,Zomato,120,Restaurant
2025-11-14 07:01:46,Swiggy,114,Restaurant
2025-11-14 14:14:46,KFC,192,Restaurant
2025-11-14 21:27:46,McDonalds,449,Restaurant
2025-11-14 04:40:46,DMart,662,Market
2025-11-14 10:53:46,BigBazaar,958,Market
2025-11-15 18:06:46,Reliance,1405,Market
2025-11-15 01:19:46,Blinkit,1960,Market
2025-11-15 08:32:46,Starbucks,3134,Coffee
2025-11-15 15:45:46,CafeCoffeeDay,4650,Coffee
2025-11-15 21:58:46,Barista,60,Coffee
2025-11-15 05:11:46,OlaCabs,147,Transport
2025-11-16 12:24:46,Uber,197,Transport
2025-11-16 19:37:46,IRCTC,452,Transport
2025-11-16 01:50:46,Rapido,557,Transport
2025-11-16 09:03:46,Razorpay,1002,Business
2025-11-16 16:16:46,Zoho,1330,Business
2025-11-16 23:29:46,Meesho,2023,Business
2025-11-17 06:42:46,Zomato,3150,Restaurant
2025-11-17 12:55:46,Swiggy,4665,Restaurant
2025-11-17 20:08:46,KFC,103,Restaurant
2025-11-17 03:21:46,McDonalds,248,Restaurant
2025-11-17 10:34:46,DMart,332,Market
2025-11-17 17:47:46,BigBazaar,310,Market
2025-11-18 00:00:46,Reliance,698,Market
2025-11-18 07:13:46,Blinkit,850,Market
2025-11-18 14:26:46,Starbucks,1377,Coffee
2025-11-18 21:39:46,CafeCoffeeDay,2088,Coffee
2025-11-18 03:52:46,Barista,3269,Coffee
2025-11-18 11:05:46,OlaCabs,4664,Transport
2025-11-19 18:18:46,Uber,173,Transport
2025-11-19 01:31:46,IRCTC,180,Transport
2025-11-19 08:44:46,Rapido,246,Transport
2025-11-19 14:57:46,Razorpay,352,Business
2025-11-19 22:10:46,Zoho,711,Business
2025-11-19 05:23:46,Meesho,1013,Business
2025-11-20 12:36:46,Zomato,1350,Restaurant
2025-11-20 18:49:46,Swiggy,1981,Restaurant
2025-11-20 02:02:46,KFC,3187,Restaurant
2025-11-20 09:15:46,McDonalds,4621,Restaurant
2025-11-20 16:28:46,DMart,73,Market
2025-11-20 23:41:46,BigBazaar,271,Market
2025-11-21 05:54:46,Reliance,345,Market
2025-11-21 13:07:46,Blinkit,376,Market
2025-11-21 20:20:46,Starbucks,657,Coffee
2025-11-21 03:33:46,CafeCoffeeDay,910,Coffee
2025-11-21 10:46:46,Barista,1462,Coffee
2025-11-21 16:59:46,OlaCabs,1938,Transport
2025-11-22 00:12:46,Uber,3122,Transport
2025-11-22 07:25:46,IRCTC,4637,Transport
2025-11-22 14:38:46,Rapido,199,Transport
2025-11-22 20:51:46,Razorpay,244,Business
2025-11-22 04:04:46,Zoho,205,Business
2025-11-22 11:17:46,Meesho,318,Business
2025-11-23 18:30:46,Zomato,677,Restaurant
2025-11-23 01:43:46,Swiggy,884,Restaurant
2025-11-23 07:56:46,KFC,1399,Restaurant
2025-11-23 15:09:46,McDonalds,1987,Restaurant
2025-11-23 22:22:46,DMart,3153,Market
2025-11-23 05:35:46,BigBazaar,4609,Market
2025-11-24 11:48:46,Reliance,60,Market
2025-11-24 19:01:46,Blinkit,162,Market
2025-11-24 02:14:46,Starbucks,274,Coffee
2025-11-24 09:27:46,CafeCoffeeDay,372,Coffee
2025-11-24 16:40:46,Barista,580,Coffee
2025-11-24 22:53:46,OlaCabs,942,Transport
2025-11-25 06:06:46,Uber,1409,Transport
2025-11-25 13:19:46,IRCTC,2100,Transport
2025-11-25 20:32:46,Rapido,3197,Transport
2025-11-25 03:45:46,Razorpay,4676,Business
2025-11-25 09:58:46,Zoho,207,Business
2025-11-25 17:11:46,Meesho,235,Business
2025-11-26 00:24:46,Zomato,182,Restaurant
2025-11-26 07:37:46,Swiggy,470,Restaurant
2025-11-26 13:50:46,KFC,681,Restaurant
2025-11-26 21:03:46,McDonalds,906,Restaurant
2025-11-26 04:16:46,DMart,1439,Market
2025-11-26 11:29:46,BigBazaar,1946,Market
2025-11-27 18:42:46,Reliance,3154,Market
2025-11-27 00:55:46,Blinkit,4587,Market
2025-11-27 08:08:46,Starbucks,69,Coffee
2025-11-27 15:21:46,CafeCoffeeDay,127,Coffee
2025-11-27 22:34:46,Barista,370,Coffee
2025-11-27 05:47:46,OlaCabs,441,Transport
2025-11-28 12:00:46,Uber,579,Transport
2025-11-28 19:13:46,IRCTC,899,Transport
2025-11-28 02:26:46,Rapido,1342,Transport
2025-11-28 09:39:46,Razorpay,2074,Business
2025-11-28 15:52:46,Zoho,3173,Business
2025-11-28 23:05:46,Meesho,4703,Business
2025-11-29 06:18:46,Zomato,127,Restaurant
2025-11-29 13:31:46,Swiggy,152,Restaurant
2025-11-29 20:44:46,KFC,355,Restaurant
2025-11-29 02:57:46,McDonalds,462,Restaurant
2025-11-29 10:10:46,DMart,607,Market
2025-11-29 17:23:46,BigBazaar,959,Market
2025-11-30 00:36:46,Reliance,1395,Market
2025-11-30 06:49:46,Blinkit,1984,Market
2025-11-30 14:02:46,Starbucks,3133,Coffee
2025-11-30 21:15:46,CafeCoffeeDay,4543,Coffee
2025-11-30 04:28:46,Barista,202,Coffee
2025-11-30 11:41:46,OlaCabs,208,Transport
2025-12-01 17:54:46,Uber,250,Transport
2025-12-01 01:07:46,IRCTC,311,Transport
2025-12-01 08:20:46,Rapido,540,Transport
2025-12-01 15:33:46,Razorpay,915,Business
2025-12-01 22:46:46,Zoho,1467,Business
2025-12-01 04:59:46,Meesho,1953,Business
2025-12-02 12:12:46,Zomato,3283,Restaurant
2025-12-02 19:25:46,Swiggy,4587,Restaurant
2025-12-02 02:38:46,KFC,81,Restaurant
2025-12-02 08:51:46,McDonalds,289,Restaurant
2025-12-02 16:04:46,DMart,293,Market
2025-12-02 23:17:46,BigBazaar,441,Market
2025-12-03 06:30:46,Reliance,720,Market
2025-12-03 13:43:46,Blinkit,939,Market
2025-12-03 19:56:46,Starbucks,1413,Coffee
2025-12-03 03:09:46,CafeCoffeeDay,1922,Coffee
2025-12-03 10:22:46,Barista,3148,Coffee
2025-12-03 17:35:46,OlaCabs,4539,Transport
2025-12-03 23:48:46,Uber,216,Transport
2025-12-04 07:01:46,IRCTC,138,Transport
2025-12-04 14:14:46,Rapido,319,Transport
2025-12-04 21:27:46,Razorpay,309,Business
2025-12-04 04:40:46,Zoho,634,Business
2025-12-04 10:53:46,Meesho,979,Business
2025-12-05 18:06:46,Zomato,1411,Restaurant
2025-12-05 01:19:46,Swiggy,1957,Restaurant
2025-12-05 08:32:46,KFC,3230,Restaurant
2025-12-05 15:45:46,McDonalds,4552,Restaurant
2025-12-05 21:58:46,DMart,60,Market
2025-12-05 05:11:46,BigBazaar,178,Market
2025-12-06 12:24:46,Reliance,273,Market
2025-12-06 19:37:46,Blinkit,310,Market
2025-12-06 01:50:46,Starbucks,631,Coffee
2025-12-06 09:03:46,CafeCoffeeDay,883,Coffee
2025-12-06 16:16:46,Barista,1444,Coffee
2025-12-06 23:29:46,OlaCabs,1983,Transport
2025-12-07 06:42:46,Uber,3290,Transport
2025-12-07 12:55:46,IRCTC,4546,Transport
2025-12-07 20:08:46,Rapido,130,Transport
2025-12-07 03:21:46,Razorpay,299,Business
2025-12-07 10:34:46,Zoho,323,Business
2025-12-07 17:47:46,Meesho,404,Business
2025-12-08 00:00:46,Zomato,698,Restaurant
2025-12-08 07:13:46,Swiggy,1021,Restaurant
2025-12-08 14:26:46,KFC,1309,Restaurant
2025-12-08 21:39:46,McDonalds,1980,Restaurant
2025-12-08 03:52:46,DMart,3161,Market
2025-12-08 11:05:46,BigBazaar,4565,Market
2025-12-09 18:18:46,Reliance,145,Market
2025-12-09 01:31:46,Blinkit,106,Market
2025-12-09 08:44:46,Starbucks,225,Coffee
2025-12-09 14:57:46,CafeCoffeeDay,488,Coffee
2025-12-09 22:10:46,Barista,625,Coffee
2025-12-09 05:23:46,OlaCabs,1030,Transport
2025-12-10 12:36:46,Uber,1375,Transport
2025-12-10 18:49:46,IRCTC,2091,Transport
2025-12-10 02:02:46,Rapido,3308,Transport
2025-12-10 09:15:46,Razorpay,4583,Business
2025-12-10 16:28:46,Zoho,108,Business
2025-12-10 23:41:46,Meesho,140,Business
2025-12-11 05:54:46,Zomato,359,Restaurant
2025-12-11 13:07:46,Swiggy,327,Restaurant
2025-12-11 20:20:46,KFC,637,Restaurant
2025-12-11 03:33:46,McDonalds,839,Restaurant
2025-12-11 10:46:46,DMart,1390,Market
2025-12-11 16:59:46,BigBazaar,1976,Market
2025-12-12 00:12:46,Reliance,3171,Market
2025-12-12 07:25:46,Blinkit,4637,Market
2025-12-12 14:38:46,Starbucks,129,Coffee
2025-12-12 20:51:46,CafeCoffeeDay,178,Coffee
2025-12-12 04:04:46,Barista,238,Coffee
2025-12-12 11:17:46,OlaCabs,357,Transport
2025-12-13 18:30:46,Uber,546,Transport
2025-12-13 01:43:46,IRCTC,998,Transport
2025-12-13 07:56:46,Rapido,1319,Transport
2025-12-13 15:09:46,Razorpay,2022,Business
2025-12-13 22:22:46,Zoho,3204,Business
2025-12-13 05:35:46,Meesho,4591,Business
2025-12-14 11:48:46,Zomato,60,Restaurant
2025-12-14 19:01:46,Swiggy,297,Restaurant
2025-12-14 02:14:46,KFC,251,Restaurant
2025-12-14 09:27:46,McDonalds,389,Restaurant
2025-12-14 16:40:46,DMart,704,Market
2025-12-14 22:53:46,BigBazaar,960,Market
2025-12-15 06:06:46,Reliance,1372,Market
2025-12-15 13:19:46,Blinkit,2093,Market
2025-12-15 20:32:46,Starbucks,3257,Coffee
2025-12-15 03:45:46,CafeCoffeeDay,4604,Coffee
2025-12-15 09:58:46,Barista,60,Coffee
2025-12-15 17:11:46,OlaCabs,129,Transport
